"(p,q,P,Q)",AIC
"(3, 0, 0, 2)",903.182091496171
"(0, 2, 1, 0)",903.2392418110607
"(0, 1, 0, 3)",903.2865942279495
"(1, 1, 3, 0)",903.2904845369244
"(3, 1, 0, 3)",903.2911229013474
"(3, 1, 0, 2)",903.3198498047341
"(2, 2, 3, 0)",903.3217499464055
"(0, 2, 2, 0)",903.357228256761
"(0, 0, 1, 3)",903.3987920350409
"(2, 1, 1, 1)",903.3998764605716
"(1, 2, 1, 1)",903.4000687554861
"(2, 0, 3, 0)",903.4045867129626
"(0, 2, 0, 2)",903.4437724022813
"(0, 2, 0, 1)",903.4743407372766
"(3, 2, 3, 2)",903.613117720818
"(2, 2, 0, 3)",903.7141080708166
"(1, 3, 3, 0)",903.7962588185346
"(3, 2, 2, 2)",903.9029599969646
"(1, 1, 0, 3)",903.9058279561824
"(1, 3, 0, 3)",904.0014634502222
"(1, 2, 1, 0)",904.0095354604981
"(2, 1, 1, 0)",904.0190695877286
"(1, 2, 2, 0)",904.0342520914634
"(2, 1, 2, 0)",904.0361643744725
"(2, 0, 0, 3)",904.0416654178082
"(1, 2, 0, 1)",904.2042145936244
"(2, 1, 0, 1)",904.2142629664339
"(0, 0, 2, 1)",904.2285572217365
"(1, 2, 0, 2)",904.2381221950104
"(2, 1, 0, 2)",904.238267310703
"(3, 3, 0, 3)",904.3071313060891
"(0, 2, 3, 0)",904.328362706311
"(2, 3, 3, 0)",904.4697530562562
"(3, 0, 3, 0)",904.5710344581806
"(2, 3, 0, 3)",904.7355783615516
"(0, 2, 0, 3)",904.9466522796656
"(3, 1, 3, 0)",904.9781929928033
"(0, 0, 0, 0)",905.0652099001694
"(3, 0, 0, 3)",905.0784143802007
"(3, 2, 2, 0)",905.0803202091506
"(0, 0, 3, 3)",905.2216443606956
"(0, 0, 1, 0)",905.2258749832096
"(3, 2, 0, 2)",905.2799077380835
"(1, 2, 3, 0)",905.2846556118542
"(2, 1, 3, 0)",905.2885369662688
"(0, 0, 3, 1)",905.3056156925254
"(0, 0, 0, 1)",905.4188804890563
"(1, 2, 0, 3)",905.9055066523649
"(2, 1, 0, 3)",905.9057168697201
"(3, 3, 3, 0)",905.9460542731845
"(0, 0, 1, 1)",906.0583173738526
"(0, 0, 2, 3)",906.0910668118678
"(0, 0, 0, 2)",906.8885882987408
"(3, 2, 3, 0)",906.8888800798395
"(0, 0, 2, 0)",906.9401470255976
"(3, 2, 0, 3)",907.1818750143267
"(0, 0, 3, 2)",907.5439432468768
"(0, 0, 3, 0)",908.7425826272067
"(0, 0, 0, 3)",908.7814050406446
